"lang"
{
"Language"	"czech"
"Tokens"
{
"DOTA_AttackMove"	"Útočný pohyb"
"[english]DOTA_AttackMove"	"Attack Move"
"DOTA_Move"	"Pohyb"
"[english]DOTA_Move"	"Move"
"DOTA_UnitQuery"	"Dotaz na objekt/jednotku"
"[english]DOTA_UnitQuery"	"Query an object/unit"
"DOTA_ExecuteAbility0"	"Schopnost č. 1"
"[english]DOTA_ExecuteAbility0"	"Ability 1"
"DOTA_ExecuteAbility1"	"Schopnost č. 2"
"[english]DOTA_ExecuteAbility1"	"Ability 2"
"DOTA_ExecuteAbility2"	"Schopnost č. 3"
"[english]DOTA_ExecuteAbility2"	"Ability 3"
"DOTA_ExecuteAbility3"	"Schopnost č. 4"
"[english]DOTA_ExecuteAbility3"	"Ability 4"
"DOTA_ExecuteAbility4"	"Schopnost č. 5"
"[english]DOTA_ExecuteAbility4"	"Ability 5"
"DOTA_ExecuteAbility5"	"Ultimátní schopnost"
"[english]DOTA_ExecuteAbility5"	"Ability Ultimate"
"DOTA_RespawnTime"	"Oživení za %s1 sekund"
"[english]DOTA_RespawnTime"	"Respawning in %s1 seconds"
"DOTA_RespawnTimeShort"	"Oživení za %s1 sekund"
"[english]DOTA_RespawnTimeShort"	"Respawn in %s1 secs"
"DOTA_UnitLevel"	"Úroveň %s1"
"[english]DOTA_UnitLevel"	"Level %s1"
"DOTA_StrengthStatus"	"%s1 SIL"
"[english]DOTA_StrengthStatus"	"%s1 STR"
"DOTA_STR"	"SIL"
"[english]DOTA_STR"	"STR"
"DOTA_AgilityStatus"	"%s1 OBR"
"[english]DOTA_AgilityStatus"	"%s1 AGI"
"DOTA_AGI"	"OBR"
"[english]DOTA_AGI"	"AGI"
"DOTA_IntellectStatus"	"%s1 INT"
"[english]DOTA_IntellectStatus"	"%s1 INT"
"DOTA_INT"	"INT"
"[english]DOTA_INT"	"INT"
"DOTA_DamageStatus"	"%s1 Poškození"
"[english]DOTA_DamageStatus"	"%s1 Damage"
"DOTA_ArmorStatus"	"%s1 Brnění"
"[english]DOTA_ArmorStatus"	"%s1 Armor"
"DOTA_ARMOR"	"BRNĚNÍ"
"[english]DOTA_ARMOR"	"ARMOR"
"DOTA_UnitHold"	"Držet pozici"
"[english]DOTA_UnitHold"	"Hold Position"
"DOTA_UnitStop"	"Zastavit"
"[english]DOTA_UnitStop"	"Stop"
"DOTA_LevelUp"	"ZVÝŠIT ÚR."
"[english]DOTA_LevelUp"	"LEVEL UP"
"DOTA_LevelUp_Req"	"Vyžaduje úroveň hrdiny %s1"
"[english]DOTA_LevelUp_Req"	"Requires Hero Level %s1"
"DOTA_AttributesUp"	"ÚROVEŇ %s1"
"[english]DOTA_AttributesUp"	"LEVEL %s1"
"DOTA_Abilities"	"SCHOPNOSTI"
"[english]DOTA_Abilities"	"ABILITIES"
"DOTA_Items"	"POUŽÍVANÉ PŘEDMĚTY"
"[english]DOTA_Items"	"EQUIPPED ITEMS"
"DOTA_Shop"	"Obchod"
"[english]DOTA_Shop"	"Shop"
"DOTA_AttribArmor"	"Brnění"
"[english]DOTA_AttribArmor"	"Armor"
"DOTA_AttribDamage"	"Poškození"
"[english]DOTA_AttribDamage"	"Damage"
"DOTA_More"	"VÍCE"
"[english]DOTA_More"	"MORE"
"DOTA_Developer"	"Vývojář"
"[english]DOTA_Developer"	"Developer"
"DOTA_NeedMana"	"%s1 sek."
"[english]DOTA_NeedMana"	"%s1 sec"
"DOTA_ManaCost"	"SPOTŘEBA MANY %s1"
"[english]DOTA_ManaCost"	"MANA COST %s1"
"DOTA_Basics"	"ZÁKLADNÍ"
"[english]DOTA_Basics"	"BASICS"
"DOTA_Upgrades"	"VYLEPŠENÍ"
"[english]DOTA_Upgrades"	"UPGRADES"
"DOTA_Attributes"	"ATRIBUTY"
"[english]DOTA_Attributes"	"ATTRIBUTES"
"DOTA_LevelLabel"	"Úroveň: %s1"
"[english]DOTA_LevelLabel"	"Level: %s1"
"DOTA_StackCount"	"Počet: %s1"
"[english]DOTA_StackCount"	"Stack Count: %s1"
"DOTA_Charges"	"Nabití: %s1"
"[english]DOTA_Charges"	"Charges: %s1"
"DOTA_Health"	"ZDRAVÍ"
"[english]DOTA_Health"	"HEALTH"
"DOTA_Mana"	"MANA"
"[english]DOTA_Mana"	"MANA"
"DOTA_Skills"	"SCHOPNOSTI"
"[english]DOTA_Skills"	"SKILLS"
"DOTA_AttributeFooter"	"POŠKOZENÍ: %s1 BRNĚNÍ: %s2"
"[english]DOTA_AttributeFooter"	"DAMAGE: %s1 ARMOR: %s2"
"DOTA_UnitSelection_Title"	"VÝBĚR JEDNOTEK"
"[english]DOTA_UnitSelection_Title"	"UNIT SELECTION"
"DOTA_SelectHeroAndCenter"	"Vybrat hrdinu a vycentrovat kameru"
"[english]DOTA_SelectHeroAndCenter"	"Select Hero and Center Camera"
"DOTA_TabUnit"	"Procházet vybranými jednotkami"
"[english]DOTA_TabUnit"	"Cycle Through Selected Units"
"DOTA_ControlGroup1"	"Ovládání skupiny 1"
"[english]DOTA_ControlGroup1"	"Control Group 1"
"DOTA_ControlGroup2"	"Ovládání skupiny 2"
"[english]DOTA_ControlGroup2"	"Control Group 2"
"DOTA_ControlGroup3"	"Ovládání skupiny 3"
"[english]DOTA_ControlGroup3"	"Control Group 3"
"DOTA_ControlGroup4"	"Ovládání skupiny 4"
"[english]DOTA_ControlGroup4"	"Control Group 4"
"DOTA_ControlGroup5"	"Ovládání skupiny 5"
"[english]DOTA_ControlGroup5"	"Control Group 5"
"DOTA_StatTooltip_Header"	"Atributy hrdiny:\n\n"
"[english]DOTA_StatTooltip_Header"	"Hero Attributes:\n\n"
"DOTA_StatTooltip_Strength"	"Síla:"
"[english]DOTA_StatTooltip_Strength"	"Strength:"
"DOTA_StatTooltip_Agility"	"Obratnost:"
"[english]DOTA_StatTooltip_Agility"	"Agility:"
"DOTA_StatTooltip_Intelligence"	"Inteligence:"
"[english]DOTA_StatTooltip_Intelligence"	"Intelligence:"
"DOTA_StatTooltip_PrimaryAttrib"	" Primární atribut\n"
"[english]DOTA_StatTooltip_PrimaryAttrib"	" Primary Attribute\n"
"DOTA_StatTooltip_StrengthBonus"	"– Každý bod zvýší zdraví o 19 bodů\n– Každý bod zrychlí obnovu zdraví o 0,03\n"
"[english]DOTA_StatTooltip_StrengthBonus"	"- Each point increases hit points by 19\n- Each point increases hit point regen by 0.03\n"
"DOTA_StatTooltip_AgilityBonus"	"– Každých 7 bodů zvýší brnění o 1\n– Každý bod zvyšuje rychlost útoku o 1\n"
"[english]DOTA_StatTooltip_AgilityBonus"	"- Every 7 points increase armor by 1\n- Each point increases attack speed by 1\n"
"DOTA_StatTooltip_IntelligenceBonus"	"– Každý bod zvýší manu o 13\n– Každý bod zvýší regeneraci many o 0,04\n"
"[english]DOTA_StatTooltip_IntelligenceBonus"	"- Each point increases mana by 13\n- Each point increases mana regen by 0.04\n"
"DOTA_StatTooltip_PrimaryBonus"	"– Každý bod zvýší poškození o 1\n"
"[english]DOTA_StatTooltip_PrimaryBonus"	"- Each point increases damage by 1\n"
"DOTA_StatTooltip_Buyback"	"Aktuální cena vykoupení: %s1\n"
"[english]DOTA_StatTooltip_Buyback"	"Current Buy Back Cost: %s1\n"
"DOTA_GoodGuys"	"Radiant"
"[english]DOTA_GoodGuys"	"The Radiant"
"DOTA_BadGuys"	"Dire"
"[english]DOTA_BadGuys"	"The Dire"
"DOTA_Towers"	"Zbývající věže: %s1"
"[english]DOTA_Towers"	"Remaining Towers: %s1"
"DOTA_Barracks"	"Kasárny: %s1"
"[english]DOTA_Barracks"	"Barracks: %s1"
"DOTA_NotAvailable"	"Není dostupné"
"[english]DOTA_NotAvailable"	"Not Available"
"DOTA_MoveForward"	"Posunutí kamery dopředu"
"[english]DOTA_MoveForward"	"Camera Forward"
"DOTA_MoveBack"	"Posunutí kamery dozadu"
"[english]DOTA_MoveBack"	"Camera Back"
"DOTA_MoveLeft"	"Posunutí kamery doleva"
"[english]DOTA_MoveLeft"	"Camera Left"
"DOTA_MoveRight"	"Posunutí kamery doprava"
"[english]DOTA_MoveRight"	"Camera Right"
"DOTA_CameraGrip"	"Uchycení kamery"
"[english]DOTA_CameraGrip"	"Camera Grip"
"DOTA_HeroSelect"	"Vybrat hrdinu"
"[english]DOTA_HeroSelect"	"Select Hero"
"DOTA_HeroCenter"	"Vycentrování na hrdinu"
"[english]DOTA_HeroCenter"	"Center Hero"
"DOTA_HeroMoveHome"	"Poslat hrdinu domů"
"[english]DOTA_HeroMoveHome"	"Hero Move Home"
"DOTA_ControlGroupCycle"	"Přepínání jednotek ve skupině"
"[english]DOTA_ControlGroupCycle"	"Control Group Tab"
