"lang"
{
"Language"	"korean"
"Tokens"
{
"DOTA_AttackMove"	"공격 이동"
"[english]DOTA_AttackMove"	"Attack Move"
"DOTA_Move"	"이동"
"[english]DOTA_Move"	"Move"
"DOTA_UnitQuery"	"객체/유닛 명령"
"[english]DOTA_UnitQuery"	"Query an object/unit"
"DOTA_ExecuteAbility0"	"기술 1"
"[english]DOTA_ExecuteAbility0"	"Ability 1"
"DOTA_ExecuteAbility1"	"기술 2"
"[english]DOTA_ExecuteAbility1"	"Ability 2"
"DOTA_ExecuteAbility2"	"기술 3"
"[english]DOTA_ExecuteAbility2"	"Ability 3"
"DOTA_ExecuteAbility3"	"기술 4"
"[english]DOTA_ExecuteAbility3"	"Ability 4"
"DOTA_ExecuteAbility4"	"기술 5"
"[english]DOTA_ExecuteAbility4"	"Ability 5"
"DOTA_ExecuteAbility5"	"궁극기"
"[english]DOTA_ExecuteAbility5"	"Ability Ultimate"
"DOTA_RespawnTime"	"%s1초 후 부활"
"[english]DOTA_RespawnTime"	"Respawning in %s1 seconds"
"DOTA_RespawnTimeShort"	"%s1초 후 부활"
"[english]DOTA_RespawnTimeShort"	"Respawn in %s1 secs"
"DOTA_UnitLevel"	"레벨 %s1"
"[english]DOTA_UnitLevel"	"Level %s1"
"DOTA_StrengthStatus"	"힘 %s1"
"[english]DOTA_StrengthStatus"	"%s1 STR"
"DOTA_STR"	"힘"
"[english]DOTA_STR"	"STR"
"DOTA_AgilityStatus"	"민첩 %s1"
"[english]DOTA_AgilityStatus"	"%s1 AGI"
"DOTA_AGI"	"민첩"
"[english]DOTA_AGI"	"AGI"
"DOTA_IntellectStatus"	"지능 %s1"
"[english]DOTA_IntellectStatus"	"%s1 INT"
"DOTA_INT"	"지능"
"[english]DOTA_INT"	"INT"
"DOTA_DamageStatus"	"%s1의 피해"
"[english]DOTA_DamageStatus"	"%s1 Damage"
"DOTA_ArmorStatus"	"방어력 %s1"
"[english]DOTA_ArmorStatus"	"%s1 Armor"
"DOTA_ARMOR"	"방어력"
"[english]DOTA_ARMOR"	"ARMOR"
"DOTA_UnitHold"	"위치 사수"
"[english]DOTA_UnitHold"	"Hold Position"
"DOTA_UnitStop"	"정지"
"[english]DOTA_UnitStop"	"Stop"
"DOTA_LevelUp"	"레벨 업"
"[english]DOTA_LevelUp"	"LEVEL UP"
"DOTA_LevelUp_Req"	"요구 영웅 레벨 %s1"
"[english]DOTA_LevelUp_Req"	"Requires Hero Level %s1"
"DOTA_AttributesUp"	"레벨 %s1"
"[english]DOTA_AttributesUp"	"LEVEL %s1"
"DOTA_Abilities"	"기술"
"[english]DOTA_Abilities"	"ABILITIES"
"DOTA_Items"	"착용된 아이템"
"[english]DOTA_Items"	"EQUIPPED ITEMS"
"DOTA_Shop"	"상점"
"[english]DOTA_Shop"	"Shop"
"DOTA_AttribArmor"	"방어력"
"[english]DOTA_AttribArmor"	"Armor"
"DOTA_AttribDamage"	"피해"
"[english]DOTA_AttribDamage"	"Damage"
"DOTA_More"	"기타"
"[english]DOTA_More"	"MORE"
"DOTA_Developer"	"개발자"
"[english]DOTA_Developer"	"Developer"
"DOTA_NeedMana"	"%s1초"
"[english]DOTA_NeedMana"	"%s1 sec"
"DOTA_ManaCost"	"마나 소모 %s1"
"[english]DOTA_ManaCost"	"MANA COST %s1"
"DOTA_Basics"	"기본 아이템"
"[english]DOTA_Basics"	"BASICS"
"DOTA_Upgrades"	"강화"
"[english]DOTA_Upgrades"	"UPGRADES"
"DOTA_Attributes"	"속성"
"[english]DOTA_Attributes"	"ATTRIBUTES"
"DOTA_LevelLabel"	"레벨: %s1"
"[english]DOTA_LevelLabel"	"Level: %s1"
"DOTA_StackCount"	"소지: %s1"
"[english]DOTA_StackCount"	"Stack Count: %s1"
"DOTA_Charges"	"횟수: %s1"
"[english]DOTA_Charges"	"Charges: %s1"
"DOTA_Health"	"체력"
"[english]DOTA_Health"	"HEALTH"
"DOTA_Mana"	"마나"
"[english]DOTA_Mana"	"MANA"
"DOTA_Skills"	"기술"
"[english]DOTA_Skills"	"SKILLS"
"DOTA_AttributeFooter"	"피해: %s1 방어력: %s2"
"[english]DOTA_AttributeFooter"	"DAMAGE: %s1 ARMOR: %s2"
"DOTA_UnitSelection_Title"	"유닛 선택"
"[english]DOTA_UnitSelection_Title"	"UNIT SELECTION"
"DOTA_SelectHeroAndCenter"	"선택된 영웅 중심으로 카메라 정렬"
"[english]DOTA_SelectHeroAndCenter"	"Select Hero and Center Camera"
"DOTA_TabUnit"	"선택된 유닛 순환"
"[english]DOTA_TabUnit"	"Cycle Through Selected Units"
"DOTA_ControlGroup1"	"부대 지정 1"
"[english]DOTA_ControlGroup1"	"Control Group 1"
"DOTA_ControlGroup2"	"부대 지정 2"
"[english]DOTA_ControlGroup2"	"Control Group 2"
"DOTA_ControlGroup3"	"부대 지정 3"
"[english]DOTA_ControlGroup3"	"Control Group 3"
"DOTA_ControlGroup4"	"부대 지정 4"
"[english]DOTA_ControlGroup4"	"Control Group 4"
"DOTA_ControlGroup5"	"부대 지정 5"
"[english]DOTA_ControlGroup5"	"Control Group 5"
"DOTA_StatTooltip_Header"	"영웅 능력치:\n\n"
"[english]DOTA_StatTooltip_Header"	"Hero Attributes:\n\n"
"DOTA_StatTooltip_Strength"	"힘:"
"[english]DOTA_StatTooltip_Strength"	"Strength:"
"DOTA_StatTooltip_Agility"	"민첩:"
"[english]DOTA_StatTooltip_Agility"	"Agility:"
"DOTA_StatTooltip_Intelligence"	"지능:"
"[english]DOTA_StatTooltip_Intelligence"	"Intelligence:"
"DOTA_StatTooltip_PrimaryAttrib"	" 주 능력치\n"
"[english]DOTA_StatTooltip_PrimaryAttrib"	" Primary Attribute\n"
"DOTA_StatTooltip_StrengthBonus"	"- 능력치 1당 증가하는 체력: 19\n- 능력치 1당 증가하는 체력 회복: 0.03\n"
"[english]DOTA_StatTooltip_StrengthBonus"	"- Each point increases hit points by 19\n- Each point increases hit point regen by 0.03\n"
"DOTA_StatTooltip_AgilityBonus"	"- 능력치 7당 증가하는 방어력: 1\n- 능력치 1당 증가하는 공격 속도: 1\n"
"[english]DOTA_StatTooltip_AgilityBonus"	"- Every 7 points increase armor by 1\n- Each point increases attack speed by 1\n"
"DOTA_StatTooltip_IntelligenceBonus"	"- 능력치 1당 증가하는 마나: 13\n- 능력치 1당 증가하는 마나 회복: 0.04\n"
"[english]DOTA_StatTooltip_IntelligenceBonus"	"- Each point increases mana by 13\n- Each point increases mana regen by 0.04\n"
"DOTA_StatTooltip_PrimaryBonus"	"- 능력치 1당 증가하는 피해: 1\n"
"[english]DOTA_StatTooltip_PrimaryBonus"	"- Each point increases damage by 1\n"
"DOTA_StatTooltip_Buyback"	"현재 되살리기 비용: %s1\n"
"[english]DOTA_StatTooltip_Buyback"	"Current Buy Back Cost: %s1\n"
"DOTA_GoodGuys"	"래디언트"
"[english]DOTA_GoodGuys"	"The Radiant"
"DOTA_BadGuys"	"다이어"
"[english]DOTA_BadGuys"	"The Dire"
"DOTA_Towers"	"남은 포탑 수: %s1"
"[english]DOTA_Towers"	"Remaining Towers: %s1"
"DOTA_Barracks"	"병영: %s1"
"[english]DOTA_Barracks"	"Barracks: %s1"
"DOTA_NotAvailable"	"사용 불가"
"[english]DOTA_NotAvailable"	"Not Available"
"DOTA_MoveForward"	"카메라 전방 이동"
"[english]DOTA_MoveForward"	"Camera Forward"
"DOTA_MoveBack"	"카메라 후방 이동"
"[english]DOTA_MoveBack"	"Camera Back"
"DOTA_MoveLeft"	"카메라 좌측 이동"
"[english]DOTA_MoveLeft"	"Camera Left"
"DOTA_MoveRight"	"카메라 우측 이동"
"[english]DOTA_MoveRight"	"Camera Right"
"DOTA_CameraGrip"	"고정 카메라"
"[english]DOTA_CameraGrip"	"Camera Grip"
"DOTA_HeroSelect"	"영웅 선택"
"[english]DOTA_HeroSelect"	"Select Hero"
"DOTA_HeroCenter"	"영웅 중앙 시점"
"[english]DOTA_HeroCenter"	"Center Hero"
"DOTA_HeroMoveHome"	"영웅 기지 귀환"
"[english]DOTA_HeroMoveHome"	"Hero Move Home"
"DOTA_ControlGroupCycle"	"부대 지정"
"[english]DOTA_ControlGroupCycle"	"Control Group Tab"
"DOTA_ControlGroup6"	"부대 지정 6"
"[english]DOTA_ControlGroup6"	"Control Group 6"
"DOTA_Escape"	"뒤로 가기"
"[english]DOTA_Escape"	"Escape"
"DOTA_Scoreboard"	"점수판"
"[english]DOTA_Scoreboard"	"Scoreboard"
"DOTA_Screenshot"	"스크린샷"
"[english]DOTA_Screenshot"	"Screenshot"
"DOTA_Voice"	"음성 대화"
"[english]DOTA_Voice"	"Voice"
