"lang"
{
"Language"	"russian"
"Tokens"
{
"DOTA_AttackMove"	"Атаковать"
"[english]DOTA_AttackMove"	"Attack Move"
"DOTA_Move"	"Двигаться"
"[english]DOTA_Move"	"Move"
"DOTA_UnitQuery"	"Узнать об объекте/юните"
"[english]DOTA_UnitQuery"	"Query an object/unit"
"DOTA_ExecuteAbility0"	"Способность №1"
"[english]DOTA_ExecuteAbility0"	"Ability 1"
"DOTA_ExecuteAbility1"	"Способность №2"
"[english]DOTA_ExecuteAbility1"	"Ability 2"
"DOTA_ExecuteAbility2"	"Способность №3"
"[english]DOTA_ExecuteAbility2"	"Ability 3"
"DOTA_ExecuteAbility3"	"Способность №4"
"[english]DOTA_ExecuteAbility3"	"Ability 4"
"DOTA_ExecuteAbility4"	"Способность №5"
"[english]DOTA_ExecuteAbility4"	"Ability 5"
"DOTA_ExecuteAbility5"	"Ульт"
"[english]DOTA_ExecuteAbility5"	"Ability Ultimate"
"DOTA_RespawnTime"	"Вы вернетесь в игру через %s1 сек."
"[english]DOTA_RespawnTime"	"Respawning in %s1 seconds"
"DOTA_RespawnTimeShort"	"Возрождение через %s1 сек."
"[english]DOTA_RespawnTimeShort"	"Respawn in %s1 secs"
"DOTA_UnitLevel"	"%s1-й уровень"
"[english]DOTA_UnitLevel"	"Level %s1"
"DOTA_StrengthStatus"	"%s1 СИЛ"
"[english]DOTA_StrengthStatus"	"%s1 STR"
"DOTA_STR"	"СИЛ"
"[english]DOTA_STR"	"STR"
"DOTA_AgilityStatus"	"%s1 ЛОВ"
"[english]DOTA_AgilityStatus"	"%s1 AGI"
"DOTA_AGI"	"ЛОВ"
"[english]DOTA_AGI"	"AGI"
"DOTA_IntellectStatus"	"%s1 ИНТ"
"[english]DOTA_IntellectStatus"	"%s1 INT"
"DOTA_INT"	"ИНТ"
"[english]DOTA_INT"	"INT"
"DOTA_DamageStatus"	"%s1 урона"
"[english]DOTA_DamageStatus"	"%s1 Damage"
"DOTA_ArmorStatus"	"%s1 брони"
"[english]DOTA_ArmorStatus"	"%s1 Armor"
"DOTA_ARMOR"	"БРОНЯ"
"[english]DOTA_ARMOR"	"ARMOR"
"DOTA_UnitHold"	"Удерживать позицию"
"[english]DOTA_UnitHold"	"Hold Position"
"DOTA_UnitStop"	"Остановиться"
"[english]DOTA_UnitStop"	"Stop"
"DOTA_LevelUp"	"УРОВЕНЬ"
"[english]DOTA_LevelUp"	"LEVEL UP"
"DOTA_LevelUp_Req"	"Требуется %s1-й уровень героя"
"[english]DOTA_LevelUp_Req"	"Requires Hero Level %s1"
"DOTA_AttributesUp"	"%s1-Й УРОВЕНЬ"
"[english]DOTA_AttributesUp"	"LEVEL %s1"
"DOTA_Abilities"	"СПОСОБНОСТИ"
"[english]DOTA_Abilities"	"ABILITIES"
"DOTA_Items"	"ИСПОЛЬЗУЕМЫЕ ПРЕДМЕТЫ"
"[english]DOTA_Items"	"EQUIPPED ITEMS"
"DOTA_Shop"	"Лавка"
"[english]DOTA_Shop"	"Shop"
"DOTA_AttribArmor"	"Броня"
"[english]DOTA_AttribArmor"	"Armor"
"DOTA_AttribDamage"	"Урон"
"[english]DOTA_AttribDamage"	"Damage"
"DOTA_More"	"ПОДРОБНЕЕ"
"[english]DOTA_More"	"MORE"
"DOTA_Developer"	"Разработчик"
"[english]DOTA_Developer"	"Developer"
"DOTA_NeedMana"	"%s1 сек."
"[english]DOTA_NeedMana"	"%s1 sec"
"DOTA_ManaCost"	"РАСХОД МАНЫ %s1"
"[english]DOTA_ManaCost"	"MANA COST %s1"
"DOTA_Basics"	"ОСНОВНЫЕ"
"[english]DOTA_Basics"	"BASICS"
"DOTA_Upgrades"	"УЛУЧШЕНИЯ"
"[english]DOTA_Upgrades"	"UPGRADES"
"DOTA_Attributes"	"АТРИБУТЫ"
"[english]DOTA_Attributes"	"ATTRIBUTES"
"DOTA_LevelLabel"	"Уровень: %s1"
"[english]DOTA_LevelLabel"	"Level: %s1"
"DOTA_StackCount"	"Количество: %s1"
"[english]DOTA_StackCount"	"Stack Count: %s1"
"DOTA_Charges"	"Зарядов: %s1"
"[english]DOTA_Charges"	"Charges: %s1"
"DOTA_Health"	"ЗДОРОВЬЕ"
"[english]DOTA_Health"	"HEALTH"
"DOTA_Mana"	"МАНА"
"[english]DOTA_Mana"	"MANA"
"DOTA_Skills"	"СПОСОБНОСТИ"
"[english]DOTA_Skills"	"SKILLS"
"DOTA_AttributeFooter"	"УРОН: %s1 БРОНЯ: %s2"
"[english]DOTA_AttributeFooter"	"DAMAGE: %s1 ARMOR: %s2"
"DOTA_UnitSelection_Title"	"ВЫБОР ЮНИТА"
"[english]DOTA_UnitSelection_Title"	"UNIT SELECTION"
"DOTA_SelectHeroAndCenter"	"Выбрать героя и сцентрировать камеру"
"[english]DOTA_SelectHeroAndCenter"	"Select Hero and Center Camera"
"DOTA_TabUnit"	"Переключиться между выбранными юнитами"
"[english]DOTA_TabUnit"	"Cycle Through Selected Units"
"DOTA_ControlGroup1"	"1-я подконтрольная группа"
"[english]DOTA_ControlGroup1"	"Control Group 1"
"DOTA_ControlGroup2"	"2-я подконтрольная группа"
"[english]DOTA_ControlGroup2"	"Control Group 2"
"DOTA_ControlGroup3"	"3-я подконтрольная группа"
"[english]DOTA_ControlGroup3"	"Control Group 3"
"DOTA_ControlGroup4"	"4-я подконтрольная группа"
"[english]DOTA_ControlGroup4"	"Control Group 4"
"DOTA_ControlGroup5"	"5-я подконтрольная группа"
"[english]DOTA_ControlGroup5"	"Control Group 5"
"DOTA_StatTooltip_Header"	"Характеристики героя:\n\n"
"[english]DOTA_StatTooltip_Header"	"Hero Attributes:\n\n"
"DOTA_StatTooltip_Strength"	"Сила:"
"[english]DOTA_StatTooltip_Strength"	"Strength:"
"DOTA_StatTooltip_Agility"	"Ловкость:"
"[english]DOTA_StatTooltip_Agility"	"Agility:"
"DOTA_StatTooltip_Intelligence"	"Интеллект:"
"[english]DOTA_StatTooltip_Intelligence"	"Intelligence:"
"DOTA_StatTooltip_PrimaryAttrib"	"основная характеристика\n"
"[english]DOTA_StatTooltip_PrimaryAttrib"	" Primary Attribute\n"
"DOTA_StatTooltip_StrengthBonus"	"- Каждое очко увеличивает здоровье на 19\n- Каждое очко увеличивает реген здоровья на 0,03\n"
"[english]DOTA_StatTooltip_StrengthBonus"	"- Each point increases hit points by 19\n- Each point increases hit point regen by 0.03\n"
"DOTA_StatTooltip_AgilityBonus"	"- Каждые 7 очков увеличивают броню на 1\n- Каждое очко увеличивает скорость атаки на 1\n"
"[english]DOTA_StatTooltip_AgilityBonus"	"- Every 7 points increase armor by 1\n- Each point increases attack speed by 1\n"
"DOTA_StatTooltip_IntelligenceBonus"	"- Каждое очко увеличивает ману на 13\n- Каждое очко увеличивает реген маны на 0,04\n"
"[english]DOTA_StatTooltip_IntelligenceBonus"	"- Each point increases mana by 13\n- Each point increases mana regen by 0.04\n"
"DOTA_StatTooltip_PrimaryBonus"	"- Каждое очко увеличивает урон на 1\n"
"[english]DOTA_StatTooltip_PrimaryBonus"	"- Each point increases damage by 1\n"
"DOTA_StatTooltip_Buyback"	"Текущая цена выкупа: %s1\n"
"[english]DOTA_StatTooltip_Buyback"	"Current Buy Back Cost: %s1\n"
"DOTA_GoodGuys"	"Свет"
"[english]DOTA_GoodGuys"	"The Radiant"
"DOTA_BadGuys"	"Тьма"
"[english]DOTA_BadGuys"	"The Dire"
"DOTA_Towers"	"Осталось башен: %s1"
"[english]DOTA_Towers"	"Remaining Towers: %s1"
"DOTA_Barracks"	"Казарм: %s1"
"[english]DOTA_Barracks"	"Barracks: %s1"
"DOTA_NotAvailable"	"Недоступно"
"[english]DOTA_NotAvailable"	"Not Available"
"DOTA_MoveForward"	"Сдвинуть камеру вперед"
"[english]DOTA_MoveForward"	"Camera Forward"
"DOTA_MoveBack"	"Сдвинуть камеру назад"
"[english]DOTA_MoveBack"	"Camera Back"
"DOTA_MoveLeft"	"Сдвинуть камеру влево"
"[english]DOTA_MoveLeft"	"Camera Left"
"DOTA_MoveRight"	"Сдвинуть камеру вправо"
"[english]DOTA_MoveRight"	"Camera Right"
"DOTA_CameraGrip"	"Зафиксировать камеру"
"[english]DOTA_CameraGrip"	"Camera Grip"
"DOTA_HeroSelect"	"Выбор героя"
"[english]DOTA_HeroSelect"	"Select Hero"
"DOTA_HeroCenter"	"Центрировать камеру на герое"
"[english]DOTA_HeroCenter"	"Center Hero"
"DOTA_HeroMoveHome"	"Отправить героя на базу"
"[english]DOTA_HeroMoveHome"	"Hero Move Home"
"DOTA_ControlGroupCycle"	"Панель управления группами"
"[english]DOTA_ControlGroupCycle"	"Control Group Tab"
