"lang"
{
"Language"	"turkish"
"Tokens"
{
"DOTA_AttackMove"	"Saldırarak Git"
"[english]DOTA_AttackMove"	"Attack Move"
"DOTA_Move"	"Git"
"[english]DOTA_Move"	"Move"
"DOTA_UnitQuery"	"Cisme/birime gözat"
"[english]DOTA_UnitQuery"	"Query an object/unit"
"DOTA_ExecuteAbility0"	"1. Yetenek"
"[english]DOTA_ExecuteAbility0"	"Ability 1"
"DOTA_ExecuteAbility1"	"2. Yetenek"
"[english]DOTA_ExecuteAbility1"	"Ability 2"
"DOTA_ExecuteAbility2"	"3. Yetenek"
"[english]DOTA_ExecuteAbility2"	"Ability 3"
"DOTA_ExecuteAbility3"	"4. Yetenek"
"[english]DOTA_ExecuteAbility3"	"Ability 4"
"DOTA_ExecuteAbility4"	"5. Yetenek"
"[english]DOTA_ExecuteAbility4"	"Ability 5"
"DOTA_ExecuteAbility5"	"Son Yetenek"
"[english]DOTA_ExecuteAbility5"	"Ability Ultimate"
"DOTA_RespawnTime"	"%s1 saniye içinde canlanacaksın"
"[english]DOTA_RespawnTime"	"Respawning in %s1 seconds"
"DOTA_RespawnTimeShort"	"Canlanmaya %s1 sn"
"[english]DOTA_RespawnTimeShort"	"Respawn in %s1 secs"
"DOTA_UnitLevel"	"Seviye %s1"
"[english]DOTA_UnitLevel"	"Level %s1"
"DOTA_StrengthStatus"	"%s1 KVT"
"[english]DOTA_StrengthStatus"	"%s1 STR"
"DOTA_STR"	"KVT"
"[english]DOTA_STR"	"STR"
"DOTA_AgilityStatus"	"%s1 ÇVK"
"[english]DOTA_AgilityStatus"	"%s1 AGI"
"DOTA_AGI"	"ÇVK"
"[english]DOTA_AGI"	"AGI"
"DOTA_IntellectStatus"	"%s1 ZEK"
"[english]DOTA_IntellectStatus"	"%s1 INT"
"DOTA_INT"	"ZEK"
"[english]DOTA_INT"	"INT"
"DOTA_DamageStatus"	"%s1 Hasar"
"[english]DOTA_DamageStatus"	"%s1 Damage"
"DOTA_ArmorStatus"	"%s1 Zırh"
"[english]DOTA_ArmorStatus"	"%s1 Armor"
"DOTA_ARMOR"	"ZIRH"
"[english]DOTA_ARMOR"	"ARMOR"
"DOTA_UnitHold"	"Konumunu Koru"
"[english]DOTA_UnitHold"	"Hold Position"
"DOTA_UnitStop"	"Dur"
"[english]DOTA_UnitStop"	"Stop"
"DOTA_LevelUp"	"SEVİYE"
"[english]DOTA_LevelUp"	"LEVEL UP"
"DOTA_LevelUp_Req"	"Kahraman %s1. Seviyede Olmalı"
"[english]DOTA_LevelUp_Req"	"Requires Hero Level %s1"
"DOTA_AttributesUp"	"%s1. SEVİYE"
"[english]DOTA_AttributesUp"	"LEVEL %s1"
"DOTA_Abilities"	"YETENEKLER"
"[english]DOTA_Abilities"	"ABILITIES"
"DOTA_Items"	"KUŞANILMIŞ EŞYALAR"
"[english]DOTA_Items"	"EQUIPPED ITEMS"
"DOTA_Shop"	"Dükkan"
"[english]DOTA_Shop"	"Shop"
"DOTA_AttribArmor"	"Zırh"
"[english]DOTA_AttribArmor"	"Armor"
"DOTA_AttribDamage"	"Hasar"
"[english]DOTA_AttribDamage"	"Damage"
"DOTA_More"	"DAHASI"
"[english]DOTA_More"	"MORE"
"DOTA_Developer"	"Geliştirici"
"[english]DOTA_Developer"	"Developer"
"DOTA_NeedMana"	"%s1 sn"
"[english]DOTA_NeedMana"	"%s1 sec"
"DOTA_ManaCost"	"MANA MALİYETİ %s1"
"[english]DOTA_ManaCost"	"MANA COST %s1"
"DOTA_Basics"	"TEMEL"
"[english]DOTA_Basics"	"BASICS"
"DOTA_Upgrades"	"GELİŞTİRMELER"
"[english]DOTA_Upgrades"	"UPGRADES"
"DOTA_Attributes"	"ÖZELLİKLER"
"[english]DOTA_Attributes"	"ATTRIBUTES"
"DOTA_LevelLabel"	"Seviye: %s1"
"[english]DOTA_LevelLabel"	"Level: %s1"
"DOTA_StackCount"	"İstif Adedi: %s1"
"[english]DOTA_StackCount"	"Stack Count: %s1"
"DOTA_Charges"	"Şarj: %s1"
"[english]DOTA_Charges"	"Charges: %s1"
"DOTA_Health"	"SAĞLIK"
"[english]DOTA_Health"	"HEALTH"
"DOTA_Mana"	"MANA"
"[english]DOTA_Mana"	"MANA"
"DOTA_Skills"	"YETENEKLER"
"[english]DOTA_Skills"	"SKILLS"
"DOTA_AttributeFooter"	"HASAR: %s1 ZIRH: %s2"
"[english]DOTA_AttributeFooter"	"DAMAGE: %s1 ARMOR: %s2"
"DOTA_UnitSelection_Title"	"BİRİM SEÇİMİ"
"[english]DOTA_UnitSelection_Title"	"UNIT SELECTION"
"DOTA_SelectHeroAndCenter"	"Kahramanı Seç ve Kamerayı Ortala"
"[english]DOTA_SelectHeroAndCenter"	"Select Hero and Center Camera"
"DOTA_TabUnit"	"Seçili Birimler Arasında Geçiş Yap"
"[english]DOTA_TabUnit"	"Cycle Through Selected Units"
"DOTA_ControlGroup1"	"Kontrol Grubu 1"
"[english]DOTA_ControlGroup1"	"Control Group 1"
"DOTA_ControlGroup2"	"Kontrol Grubu 2"
"[english]DOTA_ControlGroup2"	"Control Group 2"
"DOTA_ControlGroup3"	"Kontrol Grubu 3"
"[english]DOTA_ControlGroup3"	"Control Group 3"
"DOTA_ControlGroup4"	"Kontrol Grubu 4"
"[english]DOTA_ControlGroup4"	"Control Group 4"
"DOTA_ControlGroup5"	"Kontrol Grubu 5"
"[english]DOTA_ControlGroup5"	"Control Group 5"
"DOTA_StatTooltip_Header"	"Kahraman Özellikleri:\n\n"
"[english]DOTA_StatTooltip_Header"	"Hero Attributes:\n\n"
"DOTA_StatTooltip_Strength"	"Kuvvet:"
"[english]DOTA_StatTooltip_Strength"	"Strength:"
"DOTA_StatTooltip_Agility"	"Çeviklik:"
"[english]DOTA_StatTooltip_Agility"	"Agility:"
"DOTA_StatTooltip_Intelligence"	"Zekâ:"
"[english]DOTA_StatTooltip_Intelligence"	"Intelligence:"
"DOTA_StatTooltip_PrimaryAttrib"	" Ana Özellik\n"
"[english]DOTA_StatTooltip_PrimaryAttrib"	" Primary Attribute\n"
"DOTA_StatTooltip_StrengthBonus"	"- Her puan, sağlık puanını 19 arttırır\n- Her puan, sağlık yenilenmesini 0.03 hızlandırır\n"
"[english]DOTA_StatTooltip_StrengthBonus"	"- Each point increases hit points by 19\n- Each point increases hit point regen by 0.03\n"
"DOTA_StatTooltip_AgilityBonus"	"- Her 7 puan, zırhı 1 arttırır\n- Her puan, saldırı hızını 1 arttırır\n"
"[english]DOTA_StatTooltip_AgilityBonus"	"- Every 7 points increase armor by 1\n- Each point increases attack speed by 1\n"
"DOTA_StatTooltip_IntelligenceBonus"	"- Her puan, manayı 13 arttırır\n- Her puan, mana yenilenmesini 0.04 hızlandırır\n"
"[english]DOTA_StatTooltip_IntelligenceBonus"	"- Each point increases mana by 13\n- Each point increases mana regen by 0.04\n"
"DOTA_StatTooltip_PrimaryBonus"	"- Her puan, verilen hasarı 1 arttırır\n"
"[english]DOTA_StatTooltip_PrimaryBonus"	"- Each point increases damage by 1\n"
"DOTA_StatTooltip_Buyback"	"Anında Canlanma Maliyeti: %s1\n"
"[english]DOTA_StatTooltip_Buyback"	"Current Buy Back Cost: %s1\n"
"DOTA_GoodGuys"	"Radiant"
"[english]DOTA_GoodGuys"	"The Radiant"
"DOTA_BadGuys"	"Dire"
"[english]DOTA_BadGuys"	"The Dire"
"DOTA_Towers"	"Kalan Kule: %s1"
"[english]DOTA_Towers"	"Remaining Towers: %s1"
"DOTA_Barracks"	"Baraka: %s1"
"[english]DOTA_Barracks"	"Barracks: %s1"
"DOTA_NotAvailable"	"Mevcut Değil"
"[english]DOTA_NotAvailable"	"Not Available"
"DOTA_MoveForward"	"Kamera İleri"
"[english]DOTA_MoveForward"	"Camera Forward"
"DOTA_MoveBack"	"Kamera Geri"
"[english]DOTA_MoveBack"	"Camera Back"
"DOTA_MoveLeft"	"Kamera Sola"
"[english]DOTA_MoveLeft"	"Camera Left"
"DOTA_MoveRight"	"Kamera Sağa"
"[english]DOTA_MoveRight"	"Camera Right"
"DOTA_CameraGrip"	"Kamerayı Tut"
"[english]DOTA_CameraGrip"	"Camera Grip"
"DOTA_HeroSelect"	"Kahramanı Seç"
"[english]DOTA_HeroSelect"	"Select Hero"
"DOTA_HeroCenter"	"Kahramanı Ortala"
"[english]DOTA_HeroCenter"	"Center Hero"
"DOTA_HeroMoveHome"	"Kahramanı Üsse Döndür"
"[english]DOTA_HeroMoveHome"	"Hero Move Home"
"DOTA_ControlGroupCycle"	"Kontrol Grubu Değiştir"
"[english]DOTA_ControlGroupCycle"	"Control Group Tab"
"DOTA_ControlGroup6"	"Kontrol Grubu 6"
