"lang"
{
"Language"	"thai"
"Tokens"
{
"DOTA_WearableType_Daggers"	"Daggers"
"[english]DOTA_WearableType_Daggers"	"Daggers"
"DOTA_WearableType_Glaives"	"Glaives"
"[english]DOTA_WearableType_Glaives"	"Glaives"
"DOTA_WearableType_Weapon"	"Mace"
"[english]DOTA_WearableType_Weapon"	"Mace"
"DOTA_WearableType_Armor"	"Armor"
"[english]DOTA_WearableType_Armor"	"armor"
"DOTA_WearableType_Hair"	"Hair"
"[english]DOTA_WearableType_Hair"	"Hair"
"DOTA_WearableType_Belt"	"Belt"
"[english]DOTA_WearableType_Belt"	"belt"
"DOTA_WearableType_Mask"	"Mask"
"[english]DOTA_WearableType_Mask"	"Mask"
"DOTA_WearableType_Cape"	"Cape"
"[english]DOTA_WearableType_Cape"	"Cape"
"DOTA_WearableType_Bracer"	"Bracer"
"[english]DOTA_WearableType_Bracer"	"Bracer"
"DOTA_WearableType_Boots"	"Boots"
"[english]DOTA_WearableType_Boots"	"Boots"
"DOTA_WearableType_Hands"	"Hands"
"[english]DOTA_WearableType_Hands"	"Hands"
"DOTA_WearableType_Head"	"head"
"[english]DOTA_WearableType_Head"	"head"
"DOTA_WearableType_Mace"	"Mace"
"[english]DOTA_WearableType_Mace"	"Mace"
"DOTA_WearableType_Gauntlet"	"Gauntlet"
"[english]DOTA_WearableType_Gauntlet"	"Gauntlet"
"DOTA_WearableType_Shoulder"	"shoulder"
"[english]DOTA_WearableType_Shoulder"	"shoulder"
"DOTA_WearableType_Bow"	"Bow"
"[english]DOTA_WearableType_Bow"	"Bow"
"DOTA_WearableType_ShoulderPads"	"Shoulder Pads"
"[english]DOTA_WearableType_ShoulderPads"	"Shoulderpads"
"DOTA_WearableType_Quiver"	"Quiver"
"[english]DOTA_WearableType_Quiver"	"Quiver"
"DOTA_WearableType_Shield"	"Shield"
"[english]DOTA_WearableType_Shield"	"Shield"
"DOTA_WearableType_Horns"	"Horns"
"[english]DOTA_WearableType_Horns"	"Horns"
"DOTA_WearableType_Beard"	"Beard"
"[english]DOTA_WearableType_Beard"	"Beard"
"DOTA_WearableType_Necklace"	"Necklace"
"[english]DOTA_WearableType_Necklace"	"Necklace"
"DOTA_WearableType_Fish_Treat"	"Fish Treat"
"[english]DOTA_WearableType_Fish_Treat"	"Fish Treat"
"DOTA_WearableType_Meathook"	"Meathook"
"[english]DOTA_WearableType_Meathook"	"Meathook"
"DOTA_WearableType_Offhand_weapon"	"Offhand Weapon"
"[english]DOTA_WearableType_Offhand_weapon"	"Offhand Weapon"
"DOTA_WearableType_Back"	"back"
"[english]DOTA_WearableType_Back"	"back"
"DOTA_WearableType_Gloves"	"Gloves"
"[english]DOTA_WearableType_Gloves"	"Gloves"
"DOTA_WearableType_Legs"	"Legs"
"[english]DOTA_WearableType_Legs"	"Legs"
"DOTA_WearableType_offhand"	"offhand"
"[english]DOTA_WearableType_offhand"	"offhand"
"DOTA_WearableType_arms"	"Arms"
"[english]DOTA_WearableType_arms"	"Arms"
"DOTA_WearableType_Unnamed_New_Item"	"New Item"
"[english]DOTA_WearableType_Unnamed_New_Item"	"New Item"
"DOTA_WearableType_New_Item"	"New Item"
"[english]DOTA_WearableType_New_Item"	"New Item"
"DOTA_WearableType_body"	"ลำตัว"
"[english]DOTA_WearableType_body"	"Body"
"DOTA_WearableType_Tail"	"Tail"
"[english]DOTA_WearableType_Tail"	"Tail"
"DOTA_WearableType_Pauldrons"	"Pauldrons"
"[english]DOTA_WearableType_Pauldrons"	"Pauldrons"
"DOTA_WearableType_Chain_Weapon"	"Chain Weapon"
"[english]DOTA_WearableType_Chain_Weapon"	"Chain Weapon"
"DOTA_WearableType_Helm"	"Helm"
"[english]DOTA_WearableType_Helm"	"Helm"
"DOTA_WearableType_Pegleg"	"Makeshift Prosthetic"
"[english]DOTA_WearableType_Pegleg"	"Makeshift Prosthetic"
"DOTA_WearableType_Sword"	"Sword"
"[english]DOTA_WearableType_Sword"	"Sword"
"DOTA_WearableType_Hat"	"Hat"
"[english]DOTA_WearableType_Hat"	"Hat"
"DOTA_WearableType_Ability_Modifier"	"Ability Modifier"
"[english]DOTA_WearableType_Ability_Modifier"	"Ability Modifier"
"DOTA_WearableType_Toga"	"Toga"
"[english]DOTA_WearableType_Toga"	"Toga"
"DOTA_WearableType_Hand"	"Hand"
"[english]DOTA_WearableType_Hand"	"Hand"
"DOTA_WearableType_Taunt"	"Taunt"
"[english]DOTA_WearableType_Taunt"	"Taunt"
"DOTA_WearableType_Skin"	"Skin"
"[english]DOTA_WearableType_Skin"	"Skin"
"DOTA_WearableType_Alternate_Ultimate"	"Alternate Ultimate"
"[english]DOTA_WearableType_Alternate_Ultimate"	"Alternate Ultimate"
"DOTA_WearableType_Alternate_Attack"	"Alternate Attack"
"[english]DOTA_WearableType_Alternate_Attack"	"Alternate Attack"
"DOTA_WearableType_Pauldron"	"Pauldron"
"[english]DOTA_WearableType_Pauldron"	"Pauldron"
"DOTA_WearableType_Spaulder"	"Spaulder"
"[english]DOTA_WearableType_Spaulder"	"Spaulder"
"DOTA_WearableType_Squishy_Hat"	"Squishy Hat"
"[english]DOTA_WearableType_Squishy_Hat"	"Squishy Hat"
"DOTA_WearableType_Bracers"	"Bracers"
"[english]DOTA_WearableType_Bracers"	"Bracers"
"DOTA_WearableType_Robe"	"Robe"
"[english]DOTA_WearableType_Robe"	"Robe"
"DOTA_WearableType_Headdress"	"Headdress"
"[english]DOTA_WearableType_Headdress"	"Headdress"
"DOTA_WearableType_Mailed_Skirt"	"Mailed Skirt"
"[english]DOTA_WearableType_Mailed_Skirt"	"Mailed Skirt"
"DOTA_WearableType_Hat_and_Hair"	"Hat and Hair"
"[english]DOTA_WearableType_Hat_and_Hair"	"Hat and Hair"
"DOTA_WearableType_Shoes"	"Shoes"
"[english]DOTA_WearableType_Shoes"	"Shoes"
"DOTA_WearableType_Spikes"	"Spikes"
"[english]DOTA_WearableType_Spikes"	"Spikes"
"DOTA_WearableType_Bone_Helm"	"Bone Helm"
"[english]DOTA_WearableType_Bone_Helm"	"Bone Helm"
"DOTA_WearableType_Mine"	"Mine"
"[english]DOTA_WearableType_Mine"	"Mine"
"DOTA_WearableType_Fins"	"Fins"
"[english]DOTA_WearableType_Fins"	"Fins"
"DOTA_WearableType_Axe"	"Axe"
"[english]DOTA_WearableType_Axe"	"Axe"
"DOTA_WearableType_Shoulder_Guard"	"Shoulder Guard"
"[english]DOTA_WearableType_Shoulder_Guard"	"Shoulder Guard"
"DOTA_WearableType_Cloak_and_Tunic"	"Cloak and Tunic"
"[english]DOTA_WearableType_Cloak_and_Tunic"	"Cloak and Tunic"
"DOTA_WearableType_Hammer"	"Hammer"
"[english]DOTA_WearableType_Hammer"	"Hammer"
"DOTA_WearableType_Dead_Shark"	"Dead Shark"
"[english]DOTA_WearableType_Dead_Shark"	"Dead Shark"
"DOTA_WearableType_Finished_Lunch"	"Finished Lunch"
"[english]DOTA_WearableType_Finished_Lunch"	"Finished Lunch"
"DOTA_WearableType_Bone_Club"	"Bone Club"
"[english]DOTA_WearableType_Bone_Club"	"Bone Club"
"DOTA_WearableType_Makeshift_Weapon"	"Makeshift Weapon"
"[english]DOTA_WearableType_Makeshift_Weapon"	"Makeshift Weapon"
"DOTA_WearableType_Shoulderguard"	"Shoulderguard"
"[english]DOTA_WearableType_Shoulderguard"	"Shoulderguard"
"DOTA_WearableType_Fancy_Pantaloons"	"Fancy Pantaloons"
"[english]DOTA_WearableType_Fancy_Pantaloons"	"Fancy Pantaloons"
"DOTA_WearableType_Cloth_Bracer"	"Cloth Bracer"
"[english]DOTA_WearableType_Cloth_Bracer"	"Cloth Bracer"
"DOTA_WearableType_Stuffed_Toy"	"Stuffed Toy"
"[english]DOTA_WearableType_Stuffed_Toy"	"Stuffed Toy"
"DOTA_WearableType_Staff"	"Staff"
"[english]DOTA_WearableType_Staff"	"Staff"
"DOTA_WearableType_Gruesome_Trophies"	"Gruesome Trophies"
"[english]DOTA_WearableType_Gruesome_Trophies"	"Gruesome Trophies"
"DOTA_WearableType_Hood"	"Hood"
"[english]DOTA_WearableType_Hood"	"Hood"
"DOTA_WearableType_Shuriken"	"Shuriken"
"[english]DOTA_WearableType_Shuriken"	"Shuriken"
"DOTA_WearableType_Mancatcher"	"Mancatcher"
"[english]DOTA_WearableType_Mancatcher"	"Mancatcher"
"DOTA_WearableType_Apron"	"Apron"
"[english]DOTA_WearableType_Apron"	"Apron"
"DOTA_WearableType_Armlet"	"Armlet"
"[english]DOTA_WearableType_Armlet"	"Armlet"
"DOTA_WearableType_Scepter"	"Scepter"
"[english]DOTA_WearableType_Scepter"	"Scepter"
