"lang"
{
"Language"	"korean"
"Tokens"
{
"announcer_announcer_welcome_01"	"도타에 오신 여러분을 환영합니다!"
"[english]announcer_announcer_welcome_01"	"Welcome to Dota!"
"announcer_announcer_welcome_02"	"훈련을 시작하십시오."
"[english]announcer_announcer_welcome_02"	"Begin your training."
"announcer_announcer_welcome_03"	"훈련이 시작됩니다."
"[english]announcer_announcer_welcome_03"	"Your training begins now."
"announcer_announcer_welcome_04"	"돌아온 용사여, 반갑습니다."
"[english]announcer_announcer_welcome_04"	"Welcome back."
"announcer_announcer_welcome_05"	"역전의 용사여, 반갑습니다."
"[english]announcer_announcer_welcome_05"	"Welcome, veteran."
"announcer_announcer_welcome_06"	"이 경험은 나중에 큰 힘이 될 것입니다."
"[english]announcer_announcer_welcome_06"	"Your experience will serve you well."
"announcer_announcer_welcome_07"	"이 경험만으로도 큰 힘이 되겠지만, 아직 더 많은 것을 익혀야 합니다."
"[english]announcer_announcer_welcome_07"	"Your experience will serve you well, but there is still much to learn."
"announcer_announcer_welcome_08"	"이 경험이 승리의 밑거름이 되기를 빕니다."
"[english]announcer_announcer_welcome_08"	"May your experience lead you to victory."
"announcer_announcer_pick_yr"	"영웅을 선택할 차례입니다."
"[english]announcer_announcer_pick_yr"	"Your turn to pick."
"announcer_announcer_pick_enm"	"상대편이 영웅을 선택할 차례입니다."
"[english]announcer_announcer_pick_enm"	"Enemy's turn to pick."
"announcer_announcer_pick_rad"	"래디언트 진영이 영웅을 선택할 차례입니다."
"[english]announcer_announcer_pick_rad"	"Radiant team pick."
"announcer_announcer_pick_dire"	"다이어 진영이 영웅을 선택할 차례입니다."
"[english]announcer_announcer_pick_dire"	"Dire team pick."
"announcer_announcer_ban_yr"	"금지 영웅을 선택할 차례입니다."
"[english]announcer_announcer_ban_yr"	"Your turn to ban."
"announcer_announcer_ban_enm"	"상대편이 금지 영웅을 선택할 차례입니다."
"[english]announcer_announcer_ban_enm"	"Enemy's turn to ban."
"announcer_announcer_ban_dire"	"다이어 진영이 금지 영웅을 선택할 차례입니다."
"[english]announcer_announcer_ban_dire"	"Dire team ban."
"announcer_announcer_ban_rad"	"래디언트 진영이 금지 영웅을 선택할 차례입니다."
"[english]announcer_announcer_ban_rad"	"Radiant team ban."
"announcer_announcer_team_complete_dire"	"다이어 진영이 영웅 선택을 마쳤습니다."
"[english]announcer_announcer_team_complete_dire"	"Dire's team is complete."
"announcer_announcer_team_complete_rad"	"래디언트 진영이 영웅 선택을 마쳤습니다."
"[english]announcer_announcer_team_complete_rad"	"Radiant's team is complete."
"announcer_announcer_team_complete_yr"	"영웅 선택을 마쳤습니다."
"[english]announcer_announcer_team_complete_yr"	"Your team is complete."
"announcer_announcer_team_complete_our"	"아군이 영웅 선택을 마쳤습니다."
"[english]announcer_announcer_team_complete_our"	"Our team is complete."
"announcer_announcer_now_select"	"영웅을 선택할 수 있습니다."
"[english]announcer_announcer_now_select"	"You may now select your heroes."
"announcer_announcer_choose_hero"	"영웅을 선택하십시오."
"[english]announcer_announcer_choose_hero"	"Choose your hero."
"announcer_announcer_time_reserve"	"예비 시간입니다."
"[english]announcer_announcer_time_reserve"	"Reserve time."
"announcer_announcer_count_pick_10"	"10초 남았습니다."
"[english]announcer_announcer_count_pick_10"	"Ten seconds remaining."
"announcer_announcer_count_pick_5"	"5초 남았습니다."
"[english]announcer_announcer_count_pick_5"	"Five seconds remaining."
"announcer_announcer_count_battle_30"	"30초 후 전투가 시작됩니다."
"[english]announcer_announcer_count_battle_30"	"Thirty seconds to battle."
"announcer_announcer_count_battle_10"	"10초 후 전투가 시작됩니다."
"[english]announcer_announcer_count_battle_10"	"Ten seconds to battle."
"announcer_announcer_battle_prepare_01"	"전투를 준비하십시오."
"[english]announcer_announcer_battle_prepare_01"	"Prepare for battle."
"announcer_announcer_battle_begin_01"	"전투가 시작됩니다!"
"[english]announcer_announcer_battle_begin_01"	"The battle begins!"
"announcer_announcer_anc_attack_yr"	"고대의 요새가 공격받고 있습니다."
"[english]announcer_announcer_anc_attack_yr"	"Your ancient is under attack."
"announcer_announcer_anc_attack_rad"	"래디언트의 요새가 공격받고 있습니다."
"[english]announcer_announcer_anc_attack_rad"	"Radiant's ancient is under attack."
"announcer_announcer_anc_attack_dire"	"다이어의 요새가 공격받고 있습니다."
"[english]announcer_announcer_anc_attack_dire"	"Dire's ancient is under attack."
"announcer_announcer_twr_attack_rad_top"	"래디언트의 상부 포탑이 공격받고 있습니다."
"[english]announcer_announcer_twr_attack_rad_top"	"Radiant's top tower is under attack."
"announcer_announcer_twr_attack_rad_mid"	"래디언트의 중부 포탑이 공격받고 있습니다."
"[english]announcer_announcer_twr_attack_rad_mid"	"Radiant's middle tower is under attack."
"announcer_announcer_twr_attack_rad_bot"	"래디언트의 하부 포탑이 공격받고 있습니다."
"[english]announcer_announcer_twr_attack_rad_bot"	"Radiant's bottom tower is under attack."
"announcer_announcer_twr_attack_dire_top"	"다이어의 상부 포탑이 공격받고 있습니다."
"[english]announcer_announcer_twr_attack_dire_top"	"Dire's top tower is under attack."
"announcer_announcer_twr_attack_dire_mid"	"다이어의 중부 포탑이 공격받고 있습니다."
"[english]announcer_announcer_twr_attack_dire_mid"	"Dire's middle tower is under attack."
"announcer_announcer_twr_attack_dire_bot"	"다이어의 하부 포탑이 공격받고 있습니다."
"[english]announcer_announcer_twr_attack_dire_bot"	"Dire's bottom tower is under attack."
"announcer_announcer_twr_attack_yr_top"	"상부 포탑이 공격받고 있습니다."
"[english]announcer_announcer_twr_attack_yr_top"	"Your top tower is under attack."
"announcer_announcer_twr_attack_yr_mid"	"중부 포탑이 공격받고 있습니다."
"[english]announcer_announcer_twr_attack_yr_mid"	"Your middle tower is under attack."
"announcer_announcer_twr_attack_yr_bot"	"하부 포탑이 공격받고 있습니다."
"[english]announcer_announcer_twr_attack_yr_bot"	"Your bottom tower is under attack."
"announcer_announcer_twr_fall_yr_top"	"상부 포탑이 파괴되었습니다."
"[english]announcer_announcer_twr_fall_yr_top"	"Your top tower has fallen."
"announcer_announcer_twr_fall_yr_mid"	"중부 포탑이 파괴되었습니다."
"[english]announcer_announcer_twr_fall_yr_mid"	"Your middle tower has fallen."
"announcer_announcer_twr_fall_yr_bot"	"하부 포탑이 파괴되었습니다."
"[english]announcer_announcer_twr_fall_yr_bot"	"Your bottom tower has fallen."
"announcer_announcer_twr_fall_rad_top"	"래디언트의 상부 포탑이 파괴되었습니다."
"[english]announcer_announcer_twr_fall_rad_top"	"Radiant's top tower has fallen."
"announcer_announcer_twr_fall_rad_mid"	"래디언트의 중부 포탑이 파괴되었습니다."
"[english]announcer_announcer_twr_fall_rad_mid"	"Radiant's middle tower has fallen."
"announcer_announcer_twr_fall_rad_bot"	"래디언트의 하부 포탑이 파괴되었습니다."
"[english]announcer_announcer_twr_fall_rad_bot"	"Radiant's bottom tower has fallen."
"announcer_announcer_twr_fall_dire_top"	"다이어의 상부 포탑이 파괴되었습니다."
"[english]announcer_announcer_twr_fall_dire_top"	"Dire's top tower has fallen."
"announcer_announcer_twr_fall_dire_mid"	"다이어의 중부 포탑이 파괴되었습니다."
"[english]announcer_announcer_twr_fall_dire_mid"	"Dire's middle tower has fallen."
"announcer_announcer_twr_fall_dire_bot"	"다이어의 하부 포탑이 파괴되었습니다."
"[english]announcer_announcer_twr_fall_dire_bot"	"Dire's bottom tower has fallen."
"announcer_announcer_twr_fall_enm_top"	"적군의 상부 포탑이 파괴되었습니다."
"[english]announcer_announcer_twr_fall_enm_top"	"The enemy's top tower has fallen."
"announcer_announcer_twr_fall_enm_mid"	"적군의 중부 포탑이 파괴되었습니다."
"[english]announcer_announcer_twr_fall_enm_mid"	"The enemy's middle tower has fallen."
"announcer_announcer_twr_fall_enm_bot"	"적군의 하부 포탑이 파괴되었습니다."
"[english]announcer_announcer_twr_fall_enm_bot"	"The enemy's bottom tower has fallen."
"announcer_announcer_rax_attack_yr_top"	"아군의 상부 병영이 공격받고 있습니다."
"[english]announcer_announcer_rax_attack_yr_top"	"Your top barracks are under attack."
"announcer_announcer_rax_attack_yr_mid"	"아군의 중부 병영이 공격받고 있습니다."
"[english]announcer_announcer_rax_attack_yr_mid"	"Your middle barracks are under attack."
"announcer_announcer_rax_attack_yr_bot"	"아군의 하부 병영이 공격받고 있습니다."
"[english]announcer_announcer_rax_attack_yr_bot"	"Your bottom barracks are under attack."
"announcer_announcer_rax_attack_rad_top"	"래디언트 상부 병영이 공격받고 있습니다."
"[english]announcer_announcer_rax_attack_rad_top"	"Radiant's top barracks are under attack."
"announcer_announcer_rax_attack_rad_mid"	"래디언트 중부 병영이 공격받고 있습니다."
