"lang"
{
"Language"	"tchinese"
"Tokens"
{
"announcer_announcer_welcome_01"	"歡迎來到 Dota！"
"[english]announcer_announcer_welcome_01"	"Welcome to Dota!"
"announcer_announcer_pick_yr"	"輪到您選擇。"
"[english]announcer_announcer_pick_yr"	"Your turn to pick."
"announcer_announcer_pick_enm"	"輪到敵方選擇。"
"[english]announcer_announcer_pick_enm"	"Enemy's turn to pick."
"announcer_announcer_pick_rad"	"聖輝選擇英雄"
"[english]announcer_announcer_pick_rad"	"Radiant team pick."
"announcer_announcer_pick_dire"	"魔魘選擇英雄"
"[english]announcer_announcer_pick_dire"	"Dire team pick."
"announcer_announcer_team_complete_our"	"我方陣容已選擇完成。"
"[english]announcer_announcer_team_complete_our"	"Our team is complete."
"announcer_announcer_choose_hero"	"選擇你的英雄。"
"[english]announcer_announcer_choose_hero"	"Choose your hero."
"announcer_announcer_count_pick_10"	"剩餘十秒。"
"[english]announcer_announcer_count_pick_10"	"Ten seconds remaining."
"announcer_announcer_count_pick_5"	"剩餘五秒。"
"[english]announcer_announcer_count_pick_5"	"Five seconds remaining."
"announcer_announcer_count_battle_30"	"三十秒後開始戰鬥。"
"[english]announcer_announcer_count_battle_30"	"Thirty seconds to battle."
"announcer_announcer_count_battle_10"	"十秒後開始戰鬥。"
"[english]announcer_announcer_count_battle_10"	"Ten seconds to battle."
"announcer_announcer_battle_prepare_01"	"準備戰鬥。"
"[english]announcer_announcer_battle_prepare_01"	"Prepare for battle."
"announcer_announcer_battle_begin_01"	"戰鬥開始！"
"[english]announcer_announcer_battle_begin_01"	"The battle begins!"
"announcer_announcer_twr_attack_rad_mid"	"聖輝中路防禦塔正遭受攻擊。"
"[english]announcer_announcer_twr_attack_rad_mid"	"Radiant's middle tower is under attack."
"announcer_announcer_twr_attack_yr_top"	"你的上路防禦塔正遭受到攻擊。"
"[english]announcer_announcer_twr_attack_yr_top"	"Your top tower is under attack."
"announcer_announcer_twr_attack_yr_mid"	"你的中路防禦塔正遭受到攻擊。"
"[english]announcer_announcer_twr_attack_yr_mid"	"Your middle tower is under attack."
"announcer_announcer_twr_attack_yr_bot"	"你的下路防禦塔正遭受到攻擊。"
"[english]announcer_announcer_twr_attack_yr_bot"	"Your bottom tower is under attack."
"announcer_announcer_twr_fall_yr_bot"	"我方下路防禦塔已被擊毀。"
"[english]announcer_announcer_twr_fall_yr_bot"	"Your bottom tower has fallen."
"announcer_announcer_rax_fall_yr_bot"	"我方下路兵營已被擊毀。"
"[english]announcer_announcer_rax_fall_yr_bot"	"Your bottom barracks has fallen."
"announcer_announcer_rax_fall_rad_top"	"聖輝上方兵營已被擊毀。"
"[english]announcer_announcer_rax_fall_rad_top"	"Radiant's top barracks has fallen."
"announcer_announcer_rax_fall_rad_mid"	"聖輝中央兵營已被擊毀。"
"[english]announcer_announcer_rax_fall_rad_mid"	"Radiant's middle barracks has fallen."
"announcer_announcer_rax_fall_rad_bot"	"聖輝下方兵營已被擊毀。"
"[english]announcer_announcer_rax_fall_rad_bot"	"Radiant's bottom barracks has fallen."
}
}
